Прізвище,Ім'я,По-батькові,Партія,Номер кандидата у списку
Андрєєв,Андрій,Сергійович,"Політична партія ""Європейська Солідарність""",35
Андрєєв,Олексій,Вікторович,"Політична партія ""Рух Нових Сил Михайла Саакашвілі"", ОВО",171
Андрєєнков,Віктор,Володимирович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",57
Андрієвський,Дмитро,Йосипович,"Самовисування, ОВО",222
Андрієнко,Ігор,Олегович,Аграрна партія України,56
Андріїв,Андрій,Євстахович,"Самовисування, ОВО",68
Андріїв,Богдан,Євстафійович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",7
Андрійко,Руслан,Юрійович,"політична партія Всеукраїнське об’єднання ""Свобода"", ОВО",211
Андрійович,Зіновій,Мирославович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"", ОВО",87
Андрійович,Михайло,Васильович,"Самовисування, ОВО",87
Андрійцев,Богдан,Вікторович,"Самовисування, ОВО",131
Андрійченко,Олексій,Дмитрович,"Самовисування, ОВО",27
Андрійчук,Ілля,Олександрович,"Самовисування, ОВО",97
Андріюк,Лілія,Вікторівна,"політична партія Всеукраїнське об’єднання ""Свобода""",206
Андрусяк,Юрій,Ілліч,"Самовисування, ОВО",201
Андрух,Віталій,Васильович,"Самовисування, ОВО",159
Андрущенко,Андрій,Олександрович,"політична партія ""Громадянська позиція"", ОВО",119
Андрущенко,Світлана,Вікторівна,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",28
Андрюк,Андрій,Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",73
Андрющенко,Андрій,Миколайович,"Політична партія ""Європейська Солідарність""",99
Андрющенко,Володимир,Володимирович,"Самовисування, ОВО",174
Анісімов,Анатолій,Миколайович,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""",34
Аністратенко,Олександр,Григорович,"Самовисування, ОВО",105
Аністратенко,Яна,Леонідівна,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",58
Аніськович,Павло,Юрійович,"політична партія ""Громадянська позиція"", ОВО",223
Аносова,Ірина,Олександрівна,"політична партія ""Громадянська позиція""",80
Антіпов,Дмитро,Ігорович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",68
Антов,Трифон,Данилович,"Самовисування, ОВО",141
Антоненко,Костянтин,Григорович,Аграрна партія України,111
Антоненко,Прохор,Дмитрович,"політична партія Всеукраїнське об’єднання ""Свобода""",182
Антонець,Тетяна,Іванівна,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"", ОВО",16
Антонів,Руслан,Володимирович,"Політична Партія ""ПАТРІОТ""",88
Антонов,Ярослав,Романович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"", ОВО",166
Антонченко,Валентина,Порфиріївна,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ""",19
Антонюк,Ірина,Валеріївна,"Аграрна партія України, ОВО",202
Антонюк,Леонід,Вікторович,"Політична Партія ""ПАТРІОТ""",107
Антонюк,Микола,Павлович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", ОВО",18
Антонюк,Олександр,Васильович,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""",32
Антонюк,Сергій,Володимирович,Аграрна партія України,164
Антошик,Мар’ян,Богданович,"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", ОВО",125
Антошин,Вадим,Леонідович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", ОВО",206
Антошків,Яна,Олександрівна,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""",40
Анчин,Олег,Валерійович,"Самовисування, ОВО",159
Апостол,Надія,Сергіївна,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",107
Апостолюк,Іван,Васильович,"політична партія Всеукраїнське об’єднання ""Свобода""",167
Арахамія,Давид,Георгійович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",4
Арендач,Михайло,Богданович,"Політична Партія ""ПАТРІОТ""",90
Арешков,Анатолій,Михайлович,"Самовисування, ОВО",64
Арешонков,Володимир,Юрійович,"Самовисування, ОВО",64
Ар’єв,Володимир,Ігорович,"Політична партія ""Європейська Солідарність""",17
Арістов,Юрій,Юрійович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",42
Арканова-Чорна,Ольга,Юріївна,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", ОВО",220
Армаш,Олена,Анатоліївна,"політична партія ""Громадянська позиція""",122
Арналюк,Микола,Іванович,"Політична Партія ""ПАТРІОТ""",113
Аронець,Олександр,Романович,"політична партія Всеукраїнське об’єднання ""Свобода"", ОВО",88
Арсенова,Анна,Андріївна,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",103
Арсенюк,Олег,Олексійович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"", ОВО",195
Арсенюк,Сергій,Петрович,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",159
Артеменко,Віктор,Володимирович,"Політична Партія ""ГОЛОС"", ОВО",191
Артеменко,Надія,Михайлівна,"Політична партія ""Європейська Солідарність"", ОВО",159
Артеменко,Сергій,Вікторович,"Політична партія ""Європейська Солідарність"", ОВО",215
Артьомов,Сергій,Миколайович,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"", ОВО",62
Артюх,Юрій,Петрович,"політична партія Всеукраїнське об’єднання ""Свобода""",110
Артюшенко,Ігор,Андрійович,"Політична партія ""Європейська Солідарність""",41
Архип’юк,Ярослав,Віталійович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"", ОВО",198
Архіпов,Віталій,Вікторович,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО"", ОВО",90
Асмолов,Сергій,Вікторович,"Самовисування, ОВО",205
Астахова,Олена,Іванівна,"Самовисування, ОВО",79
Астіон,Василь,Миколайович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",20
Астраханцев,Андрій,Владиславович,"політична партія Всеукраїнське об’єднання ""Свобода""",63
Атаманюк,Олег,Юрійович,"Самовисування, ОВО",89
Атєрлєй,Дмитро,Григорович,"Політична Партія ""ГОЛОС"", ОВО",133
Аузяк,Дмитро,Васильович,"політична партія Всеукраїнське об’єднання ""Свобода""",173
Афанасьєв,Олександр,Вікторович,"Самовисування, ОВО",191
Ахметов,Родіон,Едуардович,"Політична партія ""Рух Нових Сил Михайла Саакашвілі""",85
Ахрамєєв,Павло,Олександрович,"Самовисування, ОВО",106
Ашерова,Маргарита,Євгеніївна,"Самовисування, ОВО",79
